spec_id,class_token,class_name,spec_name,source_key,role,agility,armor,armorPenetration,attackPower,block,blockValue,critRating,defense,dodge,expertise,hasteRating,healingPower,hitRating,intellect,mp5,parry,rangedAttackPower,rangedDps,shieldBlockValue,spellDamage,spellPenetration,spellPower,spirit,stamina,strength,weaponDps
1,BARBARIAN,Barbarian,Headhunting,Barbarian|Headhunting,ranged,1.473,,0.45,1,,,0.65,,,,0.6,,,,,,1,14,,,,,,,,
2,BARBARIAN,Barbarian,Brutality,Barbarian|Brutality,melee,2.195,,0.45,1,,,0.761,,,0.5,0.6,,0.5,,,,,,,,,,,,2.188,14
3,BARBARIAN,Barbarian,Ancestry,Barbarian|Ancestry,support,1.387,,0.25,1,,,0.5,,,0.5,0.55,,0.5,,,,,,,,,,,,1,
4,WITCHDOCTOR,Witch Doctor,Shadowhunting,Witch Doctor|Shadowhunting,hybrid,2,,0,1,,,0.672,,,,0.5,,,1.2,,,1,14,,0.2,,0.2,,,,0
5,WITCHDOCTOR,Witch Doctor,Voodoo,Witch Doctor|Voodoo,caster,,,,,,,1.238,,,,0.6,,,0.173,,,,,,1,,1,1.504,,,
6,WITCHDOCTOR,Witch Doctor,Brewing,Witch Doctor|Brewing,healer,,,,,,,0.5,,,,0.65,1,,0.07,,,,,,1,,1,0.3,,,
7,DEMONHUNTER,Felsworn,Infernal,Felsworn|Infernal,caster,,,,,,,1.242,,,,0.6,,,0.414,,,,,,1,,1,0.517,,,
8,DEMONHUNTER,Felsworn,Slayer,Felsworn|Slayer,hybrid,2.5,,0.3,1,,,0.734,,,0.5,0.6,,,0,,,,,,0,,0,,,1,14
9,DEMONHUNTER,Felsworn,Tyrant,Felsworn|Tyrant,tank,2.817,0.5,0.15,1,,,0.35,1.05,0.9,0.5,0.35,,0.5,,,0.9,,,,,,,,2,1.135,14
10,WITCHHUNTER,Witch Hunter,Boltslinger,Witch Hunter|Boltslinger,hybrid,1.342,,0.3,1,,,0.813,,,,0.6,,,1.104,,,1,14,,0.5,,0.5,,,,
11,WITCHHUNTER,Witch Hunter,Houndmaster,Witch Hunter|Houndmaster,hybrid,1.375,,0.3,1,,,0.891,,,,0.6,,,0.336,,,1,14,,0.5,,0.5,,,,
12,WITCHHUNTER,Witch Hunter,Inquisition,Witch Hunter|Inquisition,hybrid,1.745,,0.3,1,,,0.644,,,0.5,0.6,,,1.082,,,,,,0.75,,0.75,,,1,14
13,STORMBRINGER,Stormbringer,Wind,Stormbringer|Wind,support,,,,,,,0.5,,,,0.55,,0.5,0.067,,,,,,1,,1,,,,
14,STORMBRINGER,Stormbringer,Maelstrom,Stormbringer|Maelstrom,caster,,,,,,,0.882,,,,0.6,,,0.244,,,,,,1,,1,,,,
15,STORMBRINGER,Stormbringer,Lightning,Stormbringer|Lightning,caster,,,,,,,1.563,,,,0.6,,0.5,0.209,,,,,,1,,1,,,,
