category,family,provider,form,rank_index,spell_id,resolved_name,strength,agility,stamina,intellect,spirit,attack_power,spell_power,armor,all_stats_flat,all_stats_percent,mana_per_5,resource_cost_reduction_percent,arcane_resistance,fire_resistance,frost_resistance,nature_resistance,shadow_resistance,effect_summary,parse_status,verification_status,notes
strength,honor,GUARDIAN,single,1,300856,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,honor,GUARDIAN,single,2,301228,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,honor,GUARDIAN,single,3,301229,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,honor,GUARDIAN,single,4,301230,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,honor,GUARDIAN,single,5,301231,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,honor,GUARDIAN,single,6,301232,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,honor,GUARDIAN,greater,1,680280,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,riteOfPower,REAPER,single,1,578126,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,riteOfPower,REAPER,single,2,578127,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,riteOfPower,REAPER,single,3,578128,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,riteOfPower,REAPER,single,4,578129,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,riteOfPower,REAPER,greater,1,578130,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
strength,markOfKorthazz,FLESHWARDEN,single,1,706589,Mark of Korth'azz,3,,,,,,,,,,,,,5,,,,Strength 3; Fire Resist 5,parsed,tooltip_unverified,
strength,markOfKorthazz,FLESHWARDEN,single,2,707341,Mark of Korth'azz,27,,,,,,,,,,,,,23,,,,Strength 27; Fire Resist 23,parsed,tooltip_unverified,
strength,markOfKorthazz,FLESHWARDEN,single,3,707342,Mark of Korth'azz,33,,,,,,,,,,,,,30,,,,Strength 33; Fire Resist 30,parsed,tooltip_unverified,
strength,markOfKorthazz,FLESHWARDEN,single,4,707343,Mark of Korth'azz,43,,,,,,,,,,,,,35,,,,Strength 43; Fire Resist 35,parsed,tooltip_unverified,
strength,markOfKorthazz,FLESHWARDEN,single,5,707344,Mark of Korth'azz,61,,,,,,,,,,,,,43,,,,Strength 61; Fire Resist 43,parsed,tooltip_unverified,
strength,markOfKorthazz,FLESHWARDEN,single,6,707345,Mark of Korth'azz,77,,,,,,,,,,,,,54,,,,Strength 77; Fire Resist 54,parsed,tooltip_unverified,
strength,markOfKorthazz,FLESHWARDEN,greater,1,680300,Greater Mark of Korth’azz,77,,,,,,,,,,,,,60,,,,Strength 77; Fire Resist 60,parsed,tooltip_unverified,
stamina,enduringShout,BARBARIAN,greater,1,680302,Enduring Shout,,,20,,,,,,,,,,,,,,,Stamina 20,parsed,tooltip_unverified,
stamina,enduringShout,BARBARIAN,greater,2,681439,Enduring Shout,,,32,,,,,,,,,,,,,,,Stamina 32,parsed,tooltip_unverified,
