category,family,provider,form,rank_index,spell_id,resolved_name,resolved_rank,tooltip,dump_source
strength,honor,GUARDIAN,single,1,300856,Honor,Rank 1,"Honor / 40 yd range / Instant / Declare an ally honorable, increasing their Strength by 4 for 30 min. / ID 300856",pasted-text.txt
strength,honor,GUARDIAN,single,2,301228,Honor,Rank 2,"Honor / 40 yd range / Instant / Declare an ally honorable, increasing their Strength by 20 for 30 min. / ID 301228",pasted-text.txt
strength,honor,GUARDIAN,single,3,301229,Honor,Rank 3,"Honor / 40 yd range / Instant / Declare an ally honorable, increasing their Strength by 28 for 30 min. / ID 301229",pasted-text.txt
strength,honor,GUARDIAN,single,4,301230,Honor,Rank 4,"Honor / 40 yd range / Instant / Declare an ally honorable, increasing their Strength by 36 for 30 min. / ID 301230",pasted-text.txt
strength,honor,GUARDIAN,single,5,301231,Honor,Rank 5,"Honor / 40 yd range / Instant / Declare an ally honorable, increasing their Strength by 61 for 30 min. / ID 301231",pasted-text.txt
strength,honor,GUARDIAN,single,6,301232,Honor,Rank 6,"Honor / 40 yd range / Instant / Declare an ally honorable, increasing their Strength by 77 for 30 min. / ID 301232",pasted-text.txt
strength,honor,GUARDIAN,greater,1,680280,Greater Honor,,"Greater Honor / Instant / Declare all nearby allies honorable, increasing their Strength by 77 for 30 min. / ID 680280",pasted-text.txt
strength,riteOfPower,REAPER,single,1,578126,Rite of Power,Rank 1,"Rite of Power / 40 yd range / Instant / Allied player passes through a rite, increasing their Strength by 20 for 30 min. / ID 578126",pasted-text.txt
strength,riteOfPower,REAPER,single,2,578127,Rite of Power,Rank 2,"Rite of Power / 40 yd range / Instant / Allied player passes through a rite, increasing their Strength by 36 for 30 min. / ID 578127",pasted-text.txt
strength,riteOfPower,REAPER,single,3,578128,Rite of Power,Rank 3,"Rite of Power / 40 yd range / Instant / Allied player passes through a rite, increasing their Strength by 61 for 30 min. / ID 578128",pasted-text.txt
strength,riteOfPower,REAPER,single,4,578129,Rite of Power,Rank 4,"Rite of Power / 40 yd range / Instant / Allied player passes through a rite, increasing their Strength by 77 for 30 min. / ID 578129",pasted-text.txt
strength,riteOfPower,REAPER,greater,1,578130,Greater Rite of Power,,"Greater Rite of Power / 40 yd range / Instant / All raid and party members pass through a rite, increasing their Strength by 77 for 30 min. / ID 578130",pasted-text.txt
strength,markOfKorthazz,FLESHWARDEN,single,1,706589,Mark of Korth'azz,Rank 1,"Mark of Korth'azz / 40 yd range / Instant / Mark an ally with the power of Korth’azz, increasing Strength by 3 and Fire Resistance by 5 for 30 min. / ID 706589",pasted-text.txt
strength,markOfKorthazz,FLESHWARDEN,single,2,707341,Mark of Korth'azz,Rank 2,"Mark of Korth'azz / 40 yd range / Instant / Mark an ally with the power of Korth’azz, increasing Strength by 27 and Fire Resistance by 23 for 30 min. / ID 707341",pasted-text.txt
