spec_id,class_token,class_name,spec_name,role,primary_stats,strength,stamina,agility,intellect,spirit,attack_power,spell_power,all_stats,mana,armor_stats,individual_assignment_threshold,review_status,notes
1,BARBARIAN,Barbarian,Headhunting,Damage,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
2,BARBARIAN,Barbarian,Brutality,Melee DPS,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
3,BARBARIAN,Barbarian,Ancestry,Melee DPS,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
4,WITCHDOCTOR,Witch Doctor,Shadowhunting,Damage,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
5,WITCHDOCTOR,Witch Doctor,Voodoo,Damage,Intellect / Spirit,0,40,0,95,94,0,90,100,45,10,25,Needs review,
6,WITCHDOCTOR,Witch Doctor,Brewing,Healer,Spirit,0,40,0,44,95,0,90,100,93,10,25,Needs review,
7,DEMONHUNTER,Felsworn,Infernal,Damage,Intellect / Spirit,0,40,0,95,94,0,90,100,45,10,25,Needs review,
8,DEMONHUNTER,Felsworn,Slayer,Melee DPS,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
9,DEMONHUNTER,Felsworn,Tyrant,Tank,Agility / Stamina,0,98,95,0,0,90,0,100,0,92,25,Needs review,
10,WITCHHUNTER,Witch Hunter,Boltslinger,Damage,Agility / Intellect,0,40,95,94,15,90,89,100,45,10,25,Needs review,
11,WITCHHUNTER,Witch Hunter,Houndmaster,Damage,Agility / Intellect,0,40,95,94,15,90,89,100,45,10,25,Needs review,
12,WITCHHUNTER,Witch Hunter,Inquisition,Melee DPS,Agility / Intellect,0,40,95,94,15,90,89,100,45,10,25,Needs review,
13,STORMBRINGER,Stormbringer,Wind,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
14,STORMBRINGER,Stormbringer,Maelstrom,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
15,STORMBRINGER,Stormbringer,Lightning,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
16,FLESHWARDEN,Knight of Xoroth,Hellfire,Melee DPS,Strength / Intellect,95,40,0,94,15,90,89,100,45,10,25,Needs review,
17,FLESHWARDEN,Knight of Xoroth,Defiance,Tank,Strength / Stamina,95,98,0,0,0,90,0,100,0,92,25,Needs review,
18,FLESHWARDEN,Knight of Xoroth,War,Melee DPS,Strength,95,40,0,0,0,90,0,100,0,10,25,Needs review,
19,GUARDIAN,Guardian,Gladiator,Melee DPS,Strength,95,40,0,0,0,90,0,100,0,10,25,Needs review,
20,GUARDIAN,Guardian,Inspiration,Melee DPS,Strength,95,40,0,0,0,90,0,100,0,10,25,Needs review,
21,GUARDIAN,Guardian,Vanguard,Tank,Strength / Stamina,95,98,0,0,0,90,0,100,0,92,25,Needs review,
22,MONK,Templar,Oathkeeper,Tank,Agility / Stamina,0,98,95,0,0,90,0,100,0,92,25,Needs review,
23,MONK,Templar,Zealot,Melee DPS,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
24,MONK,Templar,Crusader,Melee DPS,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
25,SONOFARUGAL,Blood Mage,Fleshweaver,Damage,Spirit,0,40,0,44,95,0,90,100,45,10,25,Needs review,
26,SONOFARUGAL,Blood Mage,Sanguine,Damage,Spirit / Stamina,0,94,0,44,95,0,90,100,45,10,25,Needs review,
27,SONOFARUGAL,Blood Mage,Accursed,Melee DPS,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
28,RANGER,Ranger,Archery,Damage,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
29,RANGER,Ranger,Farstrider,Damage,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
30,RANGER,Ranger,Brigand,Melee DPS,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
31,CHRONOMANCER,Chronomancer,Time,Healer,Spirit,0,40,0,44,95,0,90,100,93,10,25,Needs review,
32,CHRONOMANCER,Chronomancer,Infinite,Damage,Spirit,0,40,0,44,95,0,90,100,45,10,25,Needs review,
33,CHRONOMANCER,Chronomancer,Artificer,Damage,Spirit,0,40,0,44,95,0,90,100,45,10,25,Needs review,
34,NECROMANCER,Necromancer,Death,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
35,NECROMANCER,Necromancer,Animation,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
36,NECROMANCER,Necromancer,Rime,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
37,PYROMANCER,Pyromancer,Flameweaving,Healer,Spirit,0,40,0,44,95,0,90,100,93,10,25,Needs review,
38,PYROMANCER,Pyromancer,Incineration,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
39,PYROMANCER,Pyromancer,Draconic,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
40,CULTIST,Cultist,Heretic,Healer,Intellect / Strength,94,40,0,95,45,90,89,100,93,10,25,Needs review,
41,CULTIST,Cultist,Corruption,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
42,CULTIST,Cultist,Godblade,Melee DPS,Strength,95,40,0,0,0,90,0,100,0,10,25,Needs review,
43,STARCALLER,Starcaller,Moon Priest,Healer,Intellect,0,40,0,95,45,0,90,100,93,10,25,Needs review,
44,STARCALLER,Starcaller,Sentinel,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
45,STARCALLER,Starcaller,Warden,Melee DPS,Intellect,0,40,0,95,15,90,89,100,45,10,25,Needs review,
46,SUNCLERIC,Sun Cleric,Piety,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
47,SUNCLERIC,Sun Cleric,Valkyrie,Melee DPS,Strength,95,40,0,0,0,90,0,100,0,10,25,Needs review,
48,SUNCLERIC,Sun Cleric,Seraphim,Tank,Strength / Stamina,95,98,0,0,0,90,0,100,0,92,25,Needs review,
49,TINKER,Tinkerer,Demolition,Damage,Agility / Intellect,0,40,95,94,15,90,89,100,45,10,25,Needs review,
50,TINKER,Tinkerer,Mechanics,Damage,Agility / Intellect,0,40,95,94,15,90,89,100,45,10,25,Needs review,
51,TINKER,Tinkerer,Invention,Healer,Intellect,0,40,0,95,45,0,90,100,93,10,25,Needs review,
52,PROPHET,Venomancer,Fortitude,Tank,Intellect / Stamina,0,98,0,95,15,0,90,100,45,92,25,Needs review,
53,PROPHET,Venomancer,Stalking,Melee DPS,Intellect,0,40,0,95,15,90,89,100,45,10,25,Needs review,
54,PROPHET,Venomancer,Rot,Damage,Intellect,0,40,0,95,15,0,90,100,45,10,25,Needs review,
55,REAPER,Reaper,Soul,Melee DPS,Strength,95,40,0,0,0,90,0,100,0,10,25,Needs review,
56,REAPER,Reaper,Harvest,Melee DPS,Strength,95,40,0,0,0,90,0,100,0,10,25,Needs review,
57,REAPER,Reaper,Domination,Tank,Strength / Stamina,95,98,0,0,0,90,0,100,0,92,25,Needs review,
58,WILDWALKER,Primalist,Grovekeeper,Damage,Strength / Intellect,95,40,0,94,15,90,89,100,45,10,25,Needs review,
59,WILDWALKER,Primalist,Wildwalker,Melee DPS,Strength,95,40,0,0,0,90,0,100,0,10,25,Needs review,
60,WILDWALKER,Primalist,Mountain King,Tank,Strength / Stamina,95,98,0,0,0,90,0,100,0,92,25,Needs review,
61,SPIRITMAGE,Runemaster,Engravement,Melee DPS,Agility,0,40,95,0,0,90,0,100,0,10,25,Needs review,
62,SPIRITMAGE,Runemaster,Glyphic,Damage,Intellect / Spirit,0,40,0,95,94,0,90,100,45,10,25,Needs review,
